Studio,City,ZIP Code,Latitude,Longitude,Studio Count
SAFE HAVEN RECOVERY,Beverly Hills,90210,34.08553161,-118.4042688,6
UCLA Mindful Awareness Research Center,Los Angeles,90095,34.05773226,-118.4478275,1
Sweat Yoga,Playa Vista,90094,33.97293079,-118.425329,4
YogaWorks Playa Vista,Playa Vista,90094,33.97293079,-118.425329,4
LA Fitness,Playa Vista,90094,33.97293079,-118.425329,4
Yoga By Jenni,Playa Vista,90094,33.97293079,-118.425329,4
CorePower Yoga,Los Angeles,90089,34.02032177,-118.2852982,1
Nine Treasures Yoga,West Hollywood,90069,34.08940301,-118.379789,18
Yoga by Rony,West Hollywood,90069,34.08940301,-118.379789,18
AuraYoga,West Hollywood,90069,34.08940301,-118.379789,18
Zooga Yoga - West Hollywood,West Hollywood,90069,34.08940301,-118.379789,18
Playlist Yoga,West Hollywood,90069,34.08940301,-118.379789,18
PureBodyGuru,West Hollywood,90069,34.08940301,-118.379789,18
Awakened Warrior Yoga Teacher Training,West Hollywood,90069,34.08940301,-118.379789,18
Creating Yourself,West Hollywood,90069,34.08940301,-118.379789,18
Rise Movement,West Hollywood,90069,34.08940301,-118.379789,18
The Chad Allen Method,West Hollywood,90069,34.08940301,-118.379789,18
Leo Zen Yoga - Yoga on the Sunset Strip,West Hollywood,90069,34.08940301,-118.379789,18
Purefit Wellness LA,West Hollywood,90069,34.08940301,-118.379789,18
Zen Casa,West Hollywood,90069,34.08940301,-118.379789,18
Cotrone Pilates,West Hollywood,90069,34.08940301,-118.379789,18
yoga4men,West Hollywood,90069,34.08940301,-118.379789,18
Ivorie Jenkins Yoga,West Hollywood,90069,34.08940301,-118.379789,18
Beyond Fitness,West Hollywood,90069,34.08940301,-118.379789,18
Anusara Yoga LA,West Hollywood,90069,34.08940301,-118.379789,18
Divojananda Spiritual Healer,Los Angeles,90068,34.11525145,-118.3314161,8
LA Fitness,Los Angeles,90068,34.11525145,-118.3314161,8
101 Dance Center,Los Angeles,90068,34.11525145,-118.3314161,8
Unstoppable Greatness,Los Angeles,90068,34.11525145,-118.3314161,8
CorePower Yoga,Los Angeles,90068,34.11525145,-118.3314161,8
Brittany Rose Yoga,Los Angeles,90068,34.11525145,-118.3314161,8
Mary DeCaro,Los Angeles,90068,34.11525145,-118.3314161,8
OM Mantra House,Los Angeles,90068,34.11525145,-118.3314161,8
Garth Hewitt,Los Angeles,90066,34.00215095,-118.4290397,19
MOMS AT OM,Los Angeles,90066,34.00215095,-118.4290397,19
Light on Lotus Yoga,Los Angeles,90066,34.00215095,-118.4290397,19
Dr. Grace PT,Los Angeles,90066,34.00215095,-118.4290397,19
Pacha Fitness,Los Angeles,90066,34.00215095,-118.4290397,19
The Moving Joint,Los Angeles,90066,34.00215095,-118.4290397,19
Yoga Salt,Los Angeles,90066,34.00215095,-118.4290397,19
PRENATAL BARRE YOGA,Los Angeles,90066,34.00215095,-118.4290397,19
Toni Pasion,Los Angeles,90066,34.00215095,-118.4290397,19
Anahata Conscious Living,Los Angeles,90066,34.00215095,-118.4290397,19
The Gym Venice,Los Angeles,90066,34.00215095,-118.4290397,19
Kristin Epley Active Care,Los Angeles,90066,34.00215095,-118.4290397,19
Diana Paschal Yoga & Coaching,Los Angeles,90066,34.00215095,-118.4290397,19
Find Your Balance Yoga,Los Angeles,90066,34.00215095,-118.4290397,19
Psalm Isadora Yoga,Los Angeles,90066,34.00215095,-118.4290397,19
