Postal City 1,Location,Starbucks Count
Los Angeles,"34.028881427000044, -118.35308896599997",
North Hollywood,"34.16713081200004, -118.37252852099999",
San Gabriel,"34.08980274900006, -118.09671626199997",
Littlerock,"34.53302372600007, -117.95804975599998",
Porter Ranch,"34.27493039900003, -118.55013930999996",
Los Angeles,"34.10881214900007, -118.22766603699995",
Los Angeles,"34.02833395700003, -118.28507659499996",
Maywood,"33.98850329100003, -118.18894769299999",
La Puente,"34.030754125000044, -117.93966603799998",
Los Angeles,"34.00387157600005, -118.30885680999995",
Panorama City,"34.225753627000074, -118.44892675199998",
Glendale,"34.16381122800004, -118.24788769299994",
Pasadena,"34.150763177000044, -118.09228870099997",
Los Angeles,"33.95687165100003, -118.30907840499998",
Los Angeles,"34.06172097900003, -118.47225943199999",
Burbank,"34.17111083700007, -118.32257833699998",
Burbank,"34.17644215900003, -118.30647574699998",
Long Beach,"33.76151151400006, -118.13748979299999",
Los Angeles,"34.04012195700005, -118.26498963499995",
Palmdale,"34.60587208800007, -118.18323835599995",
Torrance,"33.81145300700007, -118.34787930399995",
Upland,"34.10199049000005, -117.65981726799998",
Calabasas,"34.143272387000025, -118.66282702799998",
Beverly Hills,"34.06566189900008, -118.38146619699995",
Lakewood,"33.84907206500003, -118.14617980399998",
Los Angeles,"34.034690700000056, -118.43711702699994",
Baldwin Park,"34.08512317900005, -117.96798678399995",
Chino,"34.017832078000026, -117.68943717099995",
Valencia,"34.39058141000004, -118.56088885399998",
Los Angeles,"33.92701277300006, -118.24839605899996",
Carson,"33.83926104200003, -118.27444871199998",
Lakewood,"33.839660783000056, -118.07954914499999",
Long Beach,"33.78137253400007, -118.18660573499994",
Northridge,"34.27504336900006, -118.55377607999998",
Malibu,"34.03476022000007, -118.70434790099995",
Sun Valley,"34.22551030600005, -118.37651723599998",
Compton,"33.89040175700006, -118.21614742799994",
Whittier,"33.94588313200006, -118.03256659999994",
Santa Monica,"34.02784297100004, -118.47471870499999",
San Marino,"34.12654411600005, -118.09192806499999",
Anaheim,"33.842193921000046, -117.95265760399997",
West Covina,"34.02193376400004, -117.90013952299995",
Valley Village,"34.16615318600003, -118.399337205",
Canoga Park,"34.19807159700008, -118.59909883199998",
Culver City,"33.99506425000004, -118.39500957899998",
Agoura Hills,"34.14707426700005, -118.75386792799998",
Los Angeles,"33.99649375600006, -118.15148940099999",
Woodland Hills,"34.16201239600008, -118.59846880699996",
Pomona,"34.080760793000024, -117.73770583699996",
West Hills,"34.19781089600008, -118.63800835699999",
Burbank,"34.187313363000044, -118.34905680099996",
Sherman Oaks,"34.15450422600003, -118.45955898099999",
Harbor City,"33.79480294600006, -118.29872860199998",
Santa Clarita,"34.421682960000055, -118.56184909999996",
Westminster,"33.753842579000036, -117.99399598599996",
Buena Park,"33.870371282000065, -117.99698969499997",
Los Angeles,"34.081512479000025, -118.17678602299998",
Northridge,"34.24341172900006, -118.53609625299998",
Lancaster,"34.68816214700007, -118.23417920099996",
Palos Verdes Peninsula,"33.77664082300004, -118.37785984199996",
Valencia,"34.44749229200005, -118.54920947899996",
Los Angeles,"34.05230100700004, -118.26338632699998",
Seal Beach,"33.761194329000034, -118.08841730099999",
Glendora,"34.13905338700005, -117.85502967599996",
Canoga Park,"34.22192133200008, -118.60967892099995",
Torrance,"33.87165305800005, -118.33125965799996",
Los Angeles,"34.07687201300007, -118.26535895999996",
Lynwood,"33.925122696000074, -118.20319931099999",
Los Angeles,"34.104093473000034, -118.45101669999997",
Northridge,"34.23552119900006, -118.54598982999994",
Glendale,"34.15282270900008, -118.26132679499995",
Inglewood,"33.958092598000064, -118.32920881599995",
Burbank,"34.18518431000007, -118.30236971699998",
Whittier,"33.94370194000004, -117.99197990399995",
Huntington Beach,"33.72037300200003, -118.00086978499996",
Sherman Oaks,"34.20122172600003, -118.47497940499994",
Pasadena,"34.13698081900003, -118.159175716",
Los Angeles,"34.10546214900006, -118.29236751399998",
Palmdale,"34.596760611000036, -117.83826664399999",
Los Angeles,"34.06136034300005, -118.44023674099998",
Encino,"34.16012231800005, -118.50103640299994",
Long Beach,"33.76740334100003, -118.19939743199996",
Santa Monica,"34.03254426700005, -118.50584632399995",
La Mirada,"33.90554410100003, -118.01801952199997",
Los Angeles,"34.05948330100006, -118.24204800499996",
Woodland Hills,"34.17858424700006, -118.60957898599997",
Los Angeles,"34.007903741000064, -118.259036977",
Gardena,"33.89189209400007, -118.29849831699994",
Whittier,"33.995472680000034, -118.04046581999995",
Cypress,"33.82014301800007, -118.03980972399995",
Mt Baldy,"34.237141886000074, -117.65801843599996",
