Census Tract,Neighborhood,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
115401,Northridge,34.2247565,-118.51497350000001,6219.0,36.3,61483.0,27907.0,949.0,15.26,1.8
115403,Northridge,34.22481,-118.5317135,3722.0,32.3,52500.0,20123.0,763.0,20.5,2.02
115404,Northridge,34.225764500000004,-118.5412445,2926.0,34.3,63659.0,25370.0,418.0,14.29,1.74
117101,North Hills,34.2391215,-118.4617905,5115.0,36.3,79005.0,28129.0,399.0,7.8,4.2
117102,North Hills,34.2463715,-118.45964950000001,2839.0,35.8,62643.0,24301.0,324.0,11.41,2.15
117201,North Hills,34.242798,-118.470143,4785.0,28.9,55750.0,18862.0,1124.0,23.49,2.97
117202,North Hills,34.242857,-118.478624,2577.0,39.5,79464.0,31335.0,111.0,4.31,2.29
117301,North Hills,34.242917,-118.49052649999999,4005.0,40.5,95391.0,35072.0,178.0,4.44,4.17
117302,Northridge,34.235471999999994,-118.49708999999999,5335.0,40.2,95303.0,39590.0,590.0,11.06,3.19
117303,North Hills,34.2281815,-118.4920695,3578.0,40.0,81517.0,29043.0,348.0,9.73,2.77
117404,North Hills,34.228481,-118.47906599999999,4729.0,39.6,85448.0,29150.0,752.0,15.9,5.58
117405,North Hills,34.2337315,-118.4702305,3723.0,25.5,36582.0,11579.0,1274.0,34.22,3.65
117407,North Hills,34.2300885,-118.470266,4064.0,26.3,28512.0,9623.0,1642.0,40.4,3.3
117408,North Hills,34.2248485,-118.47036750000001,3333.0,26.7,34630.0,13979.0,1324.0,39.72,6.27
117510,North Hills,34.2336865,-118.462625,4340.0,23.9,42432.0,12491.0,1245.0,28.69,2.07
117520,North Hills,34.230017,-118.4631875,4133.0,27.1,37375.0,12927.0,1456.0,35.23,6.1
117530,North Hills,34.224845,-118.46347549999999,6864.0,28.1,51875.0,16655.0,1612.0,23.48,5.48
119001,Arleta,34.232289,-118.4180405,4329.0,33.9,76932.0,22484.0,574.0,13.26,2.77
119002,Arleta,34.245902,-118.428032,8052.0,33.0,79846.0,21492.0,536.0,6.66,3.54
119201,Arleta,34.246411,-118.441015,4289.0,32.1,74012.0,21213.0,804.0,18.75,2.08
119202,Arleta,34.2559555,-118.442705,4723.0,34.7,64196.0,18220.0,483.0,10.23,2.67
