Census Tract,Neighborhood,Latitude,Longitude
211201,Koreatown,34.074518,-118.298475
211202,Koreatown,34.074526,-118.2941155
211310,Koreatown,34.0708895,-118.298462
211320,Koreatown,34.0708825,-118.294158
211410,Koreatown,34.0726125,-118.307315
211420,Koreatown,34.072636,-118.302937
211500,Windsor Square,34.0725965,-118.316
211701,Windsor Square,34.0653255,-118.3184645
211703,Koreatown,34.067143,-118.311589
211704,Koreatown,34.0635115,-118.3116385
211802,Koreatown,34.0635375,-118.304729
211803,Koreatown,34.0671885,-118.3022325
211804,Koreatown,34.0671615,-118.3066105
211910,Koreatown,34.067207,-118.2985
211921,Koreatown,34.067232,-118.292902
211922,Koreatown,34.067223,-118.295398
212101,Koreatown,34.0635935,-118.29414
212102,Koreatown,34.0635735,-118.298496
212202,Westlake,34.056368,-118.2879195
212203,Koreatown,34.0597625,-118.290359
212204,Westlake,34.0597755,-118.2861875
212303,Koreatown,34.059763,-118.2935145
212304,Koreatown,34.0597395,-118.2982
212305,Koreatown,34.056107,-118.298204
212306,Koreatown,34.0561295,-118.2940735
212410,Koreatown,34.05971,-118.301987
212420,Koreatown,34.056087,-118.301978
212501,Koreatown,34.0560675,-118.305364
212502,Koreatown,34.0580795,-118.306623
212610,Koreatown,34.0598685,-118.314272
212620,Koreatown,34.0562585,-118.313612
212701,Koreatown,34.0546775,-118.3194445
212702,Mid-Wilshire,34.0575235,-118.3258035
212800,Mid-Wilshire,34.0523625,-118.330411
212900,Arlington Heights,34.0501175,-118.321485
213100,Arlington Heights,34.0508045,-118.3133105
213201,Harvard Heights,34.052656,-118.3044735
213202,Harvard Heights,34.0490315,-118.3045065
213310,Pico-Union,34.0508675,-118.29803
213320,Pico-Union,34.0508855,-118.2937275
213401,Westlake,34.053716,-118.287906
213402,Pico-Union,34.0498995,-118.28787
214000,Fairfax,34.0745805,-118.3486205
214100,Hancock Park,34.074602,-118.339096
214400,Fairfax,34.078166,-118.3573315
214501,Mid-Wilshire,34.070503,-118.357312
214502,Mid-Wilshire,34.0677735,-118.35135
214503,Mid-Wilshire,34.0673015,-118.3536195
214600,Beverly Grove,34.0725795,-118.365913
214700,Beverly Grove,34.0665205,-118.366383
214800,Beverly Grove,34.070088,-118.3732965
214901,Beverly Grove,34.0742895,-118.387219
214902,Beverly Grove,34.073012,-118.379762
215101,Mid-Wilshire,34.063565,-118.3542505
215102,Mid-Wilshire,34.0648495,-118.3456205
216100,Mid-Wilshire,34.0568595,-118.3378575
216200,Mid-Wilshire,34.05688,-118.3480075
216300,Carthay,34.059083,-118.363807
216401,Pico-Robertson,34.0563915,-118.3799175
216402,Pico-Robertson,34.06116,-118.3804405
216700,Mid-City,34.048208,-118.371729
216800,Carthay,34.055507,-118.369996
