ZIP Code,Studio,City,Location
90046,Crunch Fitness - Los Angeles,Los Angeles,"34.097150154000076, -118.35826821299997"
90034,Movement By Susy,Los Angeles,"34.028290507000065, -118.40269589399998"
90007,Art of Living Studio,Los Angeles,"34.02833395700003, -118.28507659499996"
90066,Pacha Fitness,Los Angeles,"34.00215095400006, -118.42903966199998"
90019,Vidalia Om,Los Angeles,"34.04884238300008, -118.33610868499994"
90405,Alice Maples Coaching,Santa Monica,"34.01013272900008, -118.47267655199994"
90017,CorePower Yoga,Los Angeles,"34.05230100700004, -118.26338632699998"
90232,Shanti Hot Yoga,Culver City,"34.01970043100005, -118.39595678999996"
90095,UCLA Mindful Awareness Research Center,Los Angeles,"34.05773226400004, -118.44782746599998"
90041,Marlee Jackson Acupuncture,Los Angeles,"34.13538185700003, -118.20684911599994"
90028,Ancient Light Curative,Los Angeles,"34.10072174800007, -118.32821815499994"
90232,Omkar 108 Yoga,Culver City,"34.01970043100005, -118.39595678999996"
90065,The Stillness,Los Angeles,"34.10881214900007, -118.22766603699995"
90028,LA Fitness,Los Angeles,"34.10072174800007, -118.32821815499994"
90004,YogaWorks - Larchmont,Los Angeles,"34.075720587000035, -118.30301712299996"
9001,A Serpent's Lair,Los Angeles,"34.06139075900006, -118.30969974099997"
91602,The Yogi Tree Center for Growth,North Hollywood,"34.15134106200003, -118.36907858599994"
9121,Mary Rita Yoga,Glendale,"34.14431084300003, -118.25610844299996"
90211,Shorty Yoga,Beverly Hills,"34.06566189900008, -118.38146619699995"
90046,Nathalie Fino - Private Yoga Classes,Los Angeles,"34.097150154000076, -118.35826821299997"
90211,Eon Wellness Center,Beverly Hills,"34.06566189900008, -118.38146619699995"
90065,The Herb Nerd,Los Angeles,"34.10881214900007, -118.22766603699995"
90066,The Moving Joint,Los Angeles,"34.00215095400006, -118.42903966199998"
90041,Caroline Cardino Yoga & Bodywork,Los Angeles,"34.13538185700003, -118.20684911599994"
90017,Onika Keleny Fitness,Los Angeles,"34.05230100700004, -118.26338632699998"
90066,Yoga Salt,Los Angeles,"34.00215095400006, -118.42903966199998"
90018,Sivananda Yoga Vedanta Center,Los Angeles,"34.030771505000075, -118.31686899999994"
90068,LA Fitness,Los Angeles,"34.11525144700005, -118.33141607899995"
9021,Alo Yoga,Beverly Hills,"34.08553160900004, -118.40426878599999"
90048,Oraya,Los Angeles,"34.073161378000066, -118.37406665299994"
90028,CorePower Yoga,Los Angeles,"34.10072174800007, -118.32821815499994"
90814,Grace and Gratitude Life,Long Beach,"33.771431161000066, -118.15235840199995"
90025,Lotus Physical Therapy,Los Angeles,"34.045183888000054, -118.45025632399995"
90034,re:YOGA Therapy + Wellness,Los Angeles,"34.028290507000065, -118.40269589399998"
91604,The DEN Meditation,Studio City,"34.144462919000034, -118.39427961799998"
90036,Gil Correa Personal Trainer,Los Angeles,"34.06892065300008, -118.35080783799998"
91602,Shaolin American Self Defense Academy,North Hollywood,"34.15134106200003, -118.36907858599994"
90036,Get INtuit Yoga,Los Angeles,"34.06892065300008, -118.35080783799998"
90019,Yoga Doula Cassie,Los Angeles,"34.04884238300008, -118.33610868499994"
90004,Thai Yoga Massage by Sasha,Los Angeles,"34.075720587000035, -118.30301712299996"
90028,LA Fitness,Los Angeles,"34.10072174800007, -118.32821815499994"
90026,Angelic Presence Healing with Atasiea,Los Angeles,"34.07687201300007, -118.26535895999996"
90069,Rise Movement,West Hollywood,"34.08940300900008, -118.37978902499998"
91423,Pilates On Demand,Sherman Oaks,"34.15306168500007, -118.43295885699996"
90292,Divine Self Love,Marina Del Rey,"33.98163383800005, -118.45110794499999"
91604,Root 2 Rise Yoga,Studio City,"34.144462919000034, -118.39427961799998"
90064,Palms Park,Los Angeles,"34.03541197100003, -118.43217675599999"
90034,Kundalini Yoga & Meditation,Los Angeles,"34.028290507000065, -118.40269589399998"
9001,Together Yoga,Los Angeles,"34.06139075900006, -118.30969974099997"
9023,Spirit Fi,Culver City,"33.99506425000004, -118.39500957899998"
90211,Ma Yoga Beverly Hills - BHCMG,Beverly Hills,"34.06566189900008, -118.38146619699995"
90045,HOMTOWN Yoga,Los Angeles,"33.961520807000056, -118.39344972199996"
90048,Brandi Fitness,Los Angeles,"34.073161378000066, -118.37406665299994"
90064,"Kim Hollingdale, LMFT - Movemental",Los Angeles,"34.03541197100003, -118.43217675599999"
90034,Zen Acupuncture & Herbology,Los Angeles,"34.028290507000065, -118.40269589399998"
91423,YAYA YOGA - It's a kids yoga adventure!,Sherman Oaks,"34.15306168500007, -118.43295885699996"
90027,Lotus Lindley,Los Angeles,"34.10546214900006, -118.29236751399998"
90046,Y7 Studio West Hollywood,Los Angeles,"34.097150154000076, -118.35826821299997"
90039,CHI - Create Heal Inspire,Los Angeles,"34.11160164200004, -118.26125727499999"
90064,Re+active Physical Therapy & Wellness,Los Angeles,"34.03541197100003, -118.43217675599999"
90011,Pack Your Mat,Los Angeles,"34.007903741000064, -118.259036977"
90025,Dasi Healing,Los Angeles,"34.045183888000054, -118.45025632399995"
90029,Y7 Studio Silver Lake,Los Angeles,"34.08989399500007, -118.29490934199998"
90028,Michelle Corp Private Yoga,Los Angeles,"34.10072174800007, -118.32821815499994"
90292,Pure Light Wellness,Marina Del Rey,"33.98163383800005, -118.45110794499999"
90026,Angel City Zen Center,Los Angeles,"34.07687201300007, -118.26535895999996"
90035,LA Fitness,Los Angeles,"34.054282330000035, -118.38385594999994"
91201,Hello Critter Goat Yoga,Glendale,"34.16917296500003, -118.291815698"
90094,YogaWorks Playa Vista,Playa Vista,"33.97293079200006, -118.42532902699998"
90039,Sol Integrative,Los Angeles,"34.11160164200004, -118.26125727499999"
90041,Sound Baths With Jamie Ford,Los Angeles,"34.13538185700003, -118.20684911599994"
90065,Evolve Yoga Sacred Healing and Creative Arts,Los Angeles,"34.10881214900007, -118.22766603699995"
90016,iELevateME,Los Angeles,"34.028881427000044, -118.35308896599997"
90046,Erin Haynes Yoga,Los Angeles,"34.097150154000076, -118.35826821299997"
90027,Bien Etre Studio,Los Angeles,"34.10546214900006, -118.29236751399998"
90066,PRENATAL BARRE YOGA,Los Angeles,"34.00215095400006, -118.42903966199998"
90292,Yoga of Touch With Marci Javril,Marina Del Rey,"33.98163383800005, -118.45110794499999"
90064,Satori Bay,Los Angeles,"34.03541197100003, -118.43217675599999"
91101,Breakthru Fitness,Pasadena,"34.145210260000056, -118.13830665399996"
90089,CorePower Yoga,Los Angeles,"34.02032176700004, -118.28529818999999"
90024,YogaWorks Westwood,Los Angeles,"34.06136034300005, -118.44023674099998"
90066,Toni Pasion,Los Angeles,"34.00215095400006, -118.42903966199998"
